"county","region","year","wage","unemp_rate","lfpr","college_pct","aging_idx","industry_pct","density","log_density","log_wage","wage_level","high_wage","region_f","year_f"
"臺南市","南部",2022,4.1417,3.6,61.2,47.71,156.53,43.64,845.48,6.7399,1.42110633157193,"高薪",1,"南部","2022"
"臺南市","南部",2023,4.2667,3.5,61.2,49.74,164.89,42.76,848.65,6.7436,1.45084069472694,"高薪",1,"南部","2023"
"臺南市","南部",2024,4.4833,3.4,61.2,50.59,174.53,43.04,848.06,6.743,1.50035938240786,"高薪",1,"南部","2024"
"臺東縣","東部",2019,3.5917,3.6,59.4,31.91,144.21,18.34,61.67,4.1218,1.2786256280211,"低薪",0,"東部","2019"
"臺東縣","東部",2020,3.6417,3.7,58.2,33.54,152.81,18.24,61.24,4.1148,1.29245060558973,"低薪",0,"東部","2020"
"臺東縣","東部",2021,3.6833,3.8,58.3,34.74,161.95,17.66,60.7,4.1059,1.30380908948095,"低薪",0,"東部","2021"
"臺東縣","東部",2022,3.7833,3.6,57.8,34.65,168.78,16.61,60.47,4.1021,1.3305966446478,"低薪",0,"東部","2022"
"臺東縣","東部",2023,3.8917,3.4,59.7,37.66,176.26,18.06,60.18,4.0973,1.35884608016066,"低薪",0,"東部","2023"
"臺東縣","東部",2024,4.025,3.3,59.5,38.76,183.72,18.37,59.8,4.091,1.39252491087053,"低薪",0,"東部","2024"
"花蓮縣","東部",2019,3.775,3.6,56.9,44.65,140.16,23.74,70.49,4.2555,1.32840038270099,"低薪",0,"東部","2019"
"花蓮縣","東部",2020,3.875,3.7,56.2,46.61,149.15,23.74,70.08,4.2496,1.35454566280531,"低薪",0,"東部","2020"
"花蓮縣","東部",2021,3.9167,3.8,55.2,48.54,158.48,21.82,69.43,4.2403,1.36524946252414,"低薪",0,"東部","2021"
"花蓮縣","東部",2022,4,3.5,56.7,47.76,167.55,21.68,68.9,4.2327,1.38629436111989,"低薪",0,"東部","2022"
"花蓮縣","東部",2023,4.1333,3.3,58,43.91,176.45,22.07,68.59,4.2281,1.41907611939423,"高薪",1,"東部","2023"
"花蓮縣","東部",2024,4.2,3.3,58.1,43.83,188.05,21.98,68.14,4.2216,1.43508452528932,"高薪",1,"東部","2024"
"苗栗縣","中部",2019,4.3583,3.7,58.5,42.48,135.04,46.43,299.65,5.7026,1.47208207307007,"高薪",1,"中部","2019"
"苗栗縣","中部",2020,4.375,3.7,58.3,45.74,142,46.22,298.07,5.6973,1.47590651980958,"高薪",1,"中部","2020"
"苗栗縣","中部",2021,4.475,3.9,58.3,47.94,149.75,47.65,295.65,5.6892,1.49850635172682,"高薪",1,"中部","2021"
"苗栗縣","中部",2022,4.6167,3.6,59.3,46.57,157.36,47.86,293.98,5.6835,1.52968016415578,"高薪",1,"中部","2022"
"苗栗縣","中部",2023,4.725,3.5,59.9,49.19,163.96,44.81,293.67,5.6825,1.55286756094571,"高薪",1,"中部","2023"
"苗栗縣","中部",2024,4.925,3.3,59,51.57,172.51,45.82,292.73,5.6793,1.59432427462405,"高薪",1,"中部","2024"
"連江縣","離島",2019,NA,0.1,70.8,45.99,102.34,19.37,454.48,6.1192,NA,NA,NA,"離島","2019"
"連江縣","離島",2020,NA,0.6,74.9,53.36,111.36,20.7,461.08,6.1336,NA,NA,NA,"離島","2020"
"連江縣","離島",2021,NA,0.4,75,49.85,123.93,18.12,473.78,6.1607,NA,NA,NA,"離島","2021"
"連江縣","離島",2022,NA,0.2,73.9,51.43,137.04,19.98,485.52,6.1852,NA,NA,NA,"離島","2022"
"連江縣","離島",2023,NA,0.2,73.6,55.11,146.56,19.75,487.47,6.1892,NA,NA,NA,"離島","2023"
"連江縣","離島",2024,NA,0.1,71.9,54.98,162.73,20.68,484.38,6.1829,NA,NA,NA,"離島","2024"
"金門縣","離島",2019,NA,1.1,57.2,42.15,148.93,24.08,924.36,6.8291,NA,NA,NA,"離島","2019"
"金門縣","離島",2020,NA,1.9,56.9,44.32,161.08,26.9,927.08,6.832,NA,NA,NA,"離島","2020"
"金門縣","離島",2021,NA,3.1,56.6,48.55,176.72,23.87,933.29,6.8387,NA,NA,NA,"離島","2021"
"金門縣","離島",2022,NA,1.3,57.8,51.26,196.01,24.55,931.68,6.837,NA,NA,NA,"離島","2022"
"金門縣","離島",2023,NA,1.2,57.1,51.25,212.03,24.43,950.5,6.857,NA,NA,NA,"離島","2023"
"金門縣","離島",2024,NA,1.2,57.3,51.25,232.16,25.42,946.89,6.8532,NA,NA,NA,"離島","2024"
"雲林縣","南部",2019,4.025,3.6,59.9,36.59,164.31,34.46,527.8,6.2687,1.39252491087053,"低薪",0,"南部","2019"
"雲林縣","南部",2020,4.025,3.8,59,36.85,172.97,34.91,524.37,6.2622,1.39252491087053,"低薪",0,"南部","2020"
"雲林縣","南部",2021,4.0083,3.8,59,35.69,182.08,34.5,519.15,6.2522,1.38836721128082,"低薪",0,"南部","2021"
"雲林縣","南部",2022,4.0333,3.6,59.8,35.77,190.12,32.94,514.47,6.2431,1.39458489943762,"低薪",0,"南部","2022"
"雲林縣","南部",2023,4.2083,3.5,58.9,38.66,197.8,33.1,510.89,6.2362,1.43705876566987,"高薪",1,"南部","2023"
"雲林縣","南部",2024,4.4417,3.4,59,39.61,198.8,32.84,510.08,6.2346,1.49103718604607,"高薪",1,"南部","2024"
"高雄市","南部",2019,4.125,3.7,58.2,51.2,133.5,36.47,939.48,6.8453,1.41706601978664,"高薪",1,"南部","2019"
"高雄市","南部",2020,4.1667,3.8,57.6,51.7,142.74,36.98,937.02,6.8427,1.42712435560815,"高薪",1,"南部","2020"
"高雄市","南部",2021,4.1917,3.9,58.6,53.19,152.25,37.45,929.82,6.835,1.43310637957236,"高薪",1,"南部","2021"
"高雄市","南部",2022,4.2417,3.6,58.8,54.72,161.78,36.4,924.21,6.8289,1.44496413228377,"高薪",1,"南部","2022"
"高雄市","南部",2023,4.3167,3.4,58.9,55.53,170.97,36.72,927.45,6.8324,1.46249122145534,"高薪",1,"南部","2023"
"高雄市","南部",2024,4.5167,3.3,58.2,57.54,181.28,35.99,925.24,6.8301,1.50778163870417,"高薪",1,"南部","2024"
