"county","region","year","wage","unemp_rate","lfpr","college_pct","aging_idx","industry_pct","density","log_density","log_wage","wage_level","high_wage","region_f","year_f","wage_z","unemp_rate_z","lfpr_z","college_pct_z","aging_idx_z","log_density_z","industry_pct_z"
"宜蘭縣","東部",2021,3.975,4,59.4,40.2,155.9,33.72,210.25,5.3483,1.3800247481063,"低薪",0,"東部","2021",-0.488195684446268,0.69940607766234,0.0105766259897646,-0.862740579642877,0.0203487441884121,-0.920513301929595,0.105160876814631
"宜蘭縣","東部",2022,4.05,3.7,57,43.32,163.33,32.24,209.49,5.3447,1.39871688111845,"低薪",0,"東部","2022",-0.395712777874733,0.344322992079922,-0.646418494315606,-0.590091306081188,0.201712197025806,-0.923270672704698,-0.048245850294884
"宜蘭縣","東部",2023,4.1667,3.5,58.3,46.47,170.45,31.64,209.87,5.3465,1.42712435560815,"高薪",1,"東部","2023",-0.251809375249425,0.107600935024975,-0.290546137483531,-0.314820404889097,0.37550866865464,-0.921891987317146,-0.110437766690634
"宜蘭縣","東部",2024,4.25,3.4,58.3,48.35,179.02,29.37,209.56,5.345,1.44691898293633,"高薪",1,"東部","2024",-0.149091693683972,-0.0107600935024977,-0.290546137483531,-0.150531740050643,0.58469908464609,-0.923040891806773,-0.345730517054552
"屏東縣","南部",2019,3.5333,3.7,61.9,36.7,163.81,31.32,295.14,5.6874,1.26223227844315,"低薪",0,"南部","2019",-1.03285834888156,0.344322992079922,0.694946542974527,-1.16859713652298,0.213428813090671,-0.660784293641426,-0.143606788768367
"屏東縣","南部",2020,3.5917,3.8,61.2,35.64,173.76,32.1,292.79,5.6795,1.2786256280211,"低薪",0,"南部","2020",-0.960844992297861,0.462684020607394,0.503322966218794,-1.26122797946381,0.456304500268607,-0.666835190620124,-0.0627572974538922
"屏東縣","南部",2021,3.65,3.9,59.6,35.81,183.96,31.59,289.83,5.6693,1.2947271675944,"低薪",0,"南部","2021",-0.888954946256254,0.581045049134867,0.0653262193485463,-1.2463720895582,0.705282591646995,-0.674647741149582,-0.115620426390279
"屏東縣","南部",2022,3.725,3.7,59.5,37.3,193.08,30.74,287.76,5.6621,1.31506685183152,"低薪",0,"南部","2022",-0.796472039684719,0.344322992079922,0.0379514226691555,-1.11616458391496,0.927898296879435,-0.680162482699789,-0.203725641284258
"屏東縣","南部",2023,3.825,3.5,60,38.69,200.34,31.15,286.42,5.6575,1.3415584672785,"低薪",0,"南部","2023",-0.673161497589338,0.107600935024975,0.174825406066108,-0.994695837039721,1.10511211486052,-0.683685789801309,-0.161227831747162
"屏東縣","南部",2024,3.9917,3.4,60.5,40.19,208.61,29.93,284.35,5.6502,1.38421720532469,"低薪",0,"南部","2024",-0.46760282391634,-0.0107600935024977,0.31169938946306,-0.863614455519678,1.30697964581143,-0.689277124984156,-0.287684728418519
"彰化縣","中部",2019,3.4917,3.7,59,40.84,124.66,47.22,1184.67,7.0772,1.2503887236339,"低薪",0,"中部","2019",-1.08415553439324,0.344322992079922,-0.0989225607277969,-0.806812523527658,-0.742207684699903,0.403714012813594,1.50447899571899
"彰化縣","中部",2020,3.5167,3.8,59,41.8,131.73,47,1178.96,7.0724,1.25752304988203,"低薪",0,"中部","2020",-1.0533278988694,0.462684020607394,-0.0989225607277969,-0.722920439354831,-0.569631693911158,0.40003751844679,1.48167529304055
"彰化縣","中部",2021,3.575,3.8,59.3,41.09,140.28,45.65,1168.41,7.0634,1.27396517614597,"低薪",0,"中部","2021",-0.981437852827789,0.462684020607394,-0.0167981706896263,-0.784965626607651,-0.360929470255746,0.393144091509033,1.34174348115011
"彰化縣","中部",2022,3.6167,3.6,58.9,41.78,147.93,44.36,1159.01,7.0553,1.28556200786575,"低薪",0,"中部","2022",-0.930017356774016,0.225961963552448,-0.126297357407188,-0.724668191108432,-0.174195901721955,0.386940007265051,1.20803086089925
"彰化縣","中部",2023,3.6917,3.5,59.8,45.21,156.62,44.07,1153.25,7.0503,1.3060870565677,"低薪",0,"中部","2023",-0.837534450202481,0.107600935024975,0.120075812707326,-0.424928765365933,0.03792366828571,0.383110325632964,1.17797143464131
"彰化縣","中部",2024,3.9,3.4,59.3,46.89,167.31,44.89,1140.8,7.0395,1.3609765531356,"低薪",0,"中部","2024",-0.580678591017804,-0.0107600935024977,-0.0167981706896263,-0.278117618063485,0.29886247189698,0.374838213307655,1.2629670537155
"新北市","北部",2019,4.2667,3.8,59.2,53.09,118.97,34.01,1957.89,7.5796,1.45084069472694,"高薪",1,"北部","2019",-0.128498833154044,0.462684020607394,-0.0441729673690152,0.263685425552693,-0.88109840430216,0.788520423205739,0.135220303072576
"新北市","北部",2020,4.275,3.9,59.2,54.8,128.19,32.2,1963.86,7.5827,1.45278410238872,"高薪",1,"北部","2020",-0.118264058160127,0.581045049134867,-0.0441729673690152,0.413118200485542,-0.65604173738954,0.790894825817633,-0.0523919780546005
"新北市","北部",2021,4.2917,4,58.7,57.05,137.58,32.27,1952.73,7.577,1.45668292484182,"高薪",1,"北部","2021",-0.0976711976301993,0.69940607766234,-0.181046950765968,0.609740272765606,-0.426835435620612,0.786528988757053,-0.0451362544750964
"新北市","北部",2022,4.35,3.7,58.4,59.3,147.86,32.07,1946.61,7.5738,1.47017584510059,"高薪",1,"北部","2022",-0.0257811515885926,0.344322992079922,-0.26317134080414,0.806362345045671,-0.175904574898081,0.784077992512517,-0.0658668932736798
"新北市","北部",2023,4.4417,3.5,58.6,61.64,159.43,32,1968.81,7.5852,1.49103718604607,"高薪",1,"北部","2023",0.0872946155128716,0.107600935024975,-0.208421747445358,1.01084930021694,0.106514691498775,0.792809666633677,-0.0731226168531839
